# NFTBan nft parser-contract registry (v1.228.8 PR1)
#
# One row per VERDICT-BEARING nft read site. Total coverage is enforced
# separately by nft-parser-sites.tsv (R1 pin); this file carries the SEMANTICS.
#
# CONTRACT (owner ruling 2026-08-08):
#   UNKNOWN OBSERVATION MUST NOT BECOME
#   KNOWN SAFE / KNOWN ABSENT / ZERO / DESTRUCTIVE AUTHORIZATION.
#
# severity_class: SECURITY_VERDICT DESTRUCTIVE_DECISION HEALTH_VERDICT
#                 AUTHORITY_VERDICT OPERATOR_STATUS METRIC_ONLY DISPLAY_ONLY
# failure_policy: UNKNOWN_REQUIRED           failure must surface as UNKNOWN
#                 KNOWN_GAP_FAILS_ZERO       STILL WRONG; deferred, waiver required
#                 DISPLAY_ONLY_ZERO_ACCEPTED zero-on-failure intentionally fine
#                 METRIC_BEST_EFFORT         gauge semantics, best effort
#
# A critical severity (SECURITY/DESTRUCTIVE/HEALTH/AUTHORITY) REQUIRES
# UNKNOWN_REQUIRED. The ONLY exception is a pre-existing site carrying a full
# waiver: tier + reviewer + current_behavior + required_behavior + a
# WAIVED_TO=OPEN_NFT_PARSER_FAILURE_TRUTH_TAIL(Tier-N) note. A waiver means
# STILL WRONG (deferred debt) - it is NOT an allowlist. Waivers are counted,
# tier-bucketed, and may never increase without a reviewed baseline update.
# Severity may never be downgraded to dodge the rule (anti-laundering guard).
#
# columns: file<TAB>anchor<TAB>severity_class<TAB>failure_policy<TAB>waiver_tier<TAB>reviewer<TAB>current_behavior<TAB>required_behavior<TAB>note
cli/lib/nftban/core/nftban_health_checks_security.sh	_dump=$(nft -j list table "$family" nftban 2>/dev/null) || _rc=$?	HEALTH_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_firewall.sh	if set_info=$(nft list set ip nftban "$set_name" 2>/dev/null); then	HEALTH_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_firewall.sh	if set_info=$(nft list set ip6 nftban "$set_name" 2>/dev/null); then	HEALTH_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_firewall.sh	ruleset=$(nft -a list ruleset 2>/dev/null) || {	SECURITY_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_health_analysis.sh	live_tables=$(nft list tables 2>/dev/null) || tables_readable=false	AUTHORITY_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_support.sh	nft_raw=$(nft list set ip nftban blacklist_ipv4 2>/dev/null) || nft_readable=false	HEALTH_VERDICT	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/cli/cmd_status.sh	raw=$(nft -a list table ${NFTBAN_TABLE_IPV4} 2>/dev/null) || { echo "UNKNOWN"; return 0; }	OPERATOR_STATUS	UNKNOWN_REQUIRED	-	-	-	-	PR1 MUST-FIX: fixed in this PR to 3-state UNKNOWN discipline
cli/lib/nftban/core/nftban_health_checks_security.sh	count=$(nft list set "$family" nftban "$set_name" 2>/dev/null | grep -c ',' || true)	HEALTH_VERDICT	KNOWN_GAP_FAILS_ZERO	TIER-1	owner-2026-08-08	set-size CRITICAL thresholds read 0 when the set dump fails -> a 500k set reports healthy-small	3-state: dump failure -> UNKNOWN, never 0	WAIVED_TO=OPEN_NFT_PARSER_FAILURE_TRUTH_TAIL(TIER-1)
cli/lib/nftban/core/nftban_health_checks_security.sh	nft_tcp_ports=$(timeout 10s nft list set ${NFTBAN_TABLE_IPV4} tcp_ports_in 2>/dev/null) || nft_tcp_ports=""	SECURITY_VERDICT	KNOWN_GAP_FAILS_ZERO	TIER-1	owner-2026-08-08	empty/failed tcp_ports_in read -> no SSH-port warning emitted (silently OK)	read failure -> UNKNOWN + explicit cannot-verify advisory	WAIVED_TO=OPEN_NFT_PARSER_FAILURE_TRUTH_TAIL(TIER-1)
cli/lib/nftban/core/nftban_health_checks_security.sh	rule_count=$(nft list chain ip nftban "${chain_name}" 2>/dev/null \	HEALTH_VERDICT	KNOWN_GAP_FAILS_ZERO	TIER-2	owner-2026-08-08	per-chain rule_count 0 on failed chain read -> compared against expectation as if measured	read failure -> UNKNOWN, skip comparison	WAIVED_TO=OPEN_NFT_PARSER_FAILURE_TRUTH_TAIL(TIER-2)
